Target	Alias	Gene	Barcode	Filtered	Counts	Corr_Within	Corr_Between
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec4-P1P2	APOBEC4___183622414.23-P1P2	0	883998.0	0.9986685676439269	0.9979696760228371
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P1	APTX_-_33001417.23-P1	0	974006.0	0.9990395438594677	0.9945990379700382
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P1	APTX_-_33001547.23-P1	0	1005092.0	0.9986642396724457	0.9897842436338328
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P1	APTX___33001563.23-P1	0	1055164.0	0.998573973925011	0.9950276927673072
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P2	APTX_-_33025057.23-P2	0	779558.0	0.9955919427986109	0.9906965612854198
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P2	APTX___33025069.23-P2	0	542678.0	0.9953800063193718	0.9920153432508664
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aptx-P2	APTX___33025113.23-P2	0	416116.0	0.9932585019225288	0.9976317116312091
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aqr-P1P2	AQR___35261886.23-P1P2	0	59472.0	0.9648350628805347	0.9667059093405117
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aqr-P1P2	AQR___35261919.23-P1P2	0	20640.0	0.9625670708874969	0.9433204287552177
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aqr-P1P2	AQR___35261962.23-P1P2	0	27316.0	0.9648587477664552	0.9810992047361039
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1a-P1P2	ARID1A_-_27022530.23-P1P2	0	1178250.0	0.9980907618455097	0.9976657840245342
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1a-P1P2	ARID1A_-_27022545.23-P1P2	0	862910.0	0.997758098962841	0.9982348475701732
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1a-P1P2	ARID1A___27022576.23-P1P2	0	479830.0	0.9971256888444455	0.9981765645225847
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P1	ARID1B_-_157098992.23-P1	0	650178.0	0.9977102797435993	0.9988029625853713
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P1	ARID1B_-_157099145.23-P1	0	607524.0	0.9968974106621975	0.9906636741718796
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P1	ARID1B___157098803.23-P1	0	621606.0	0.9986074662326683	0.9970785109375946
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P2	ARID1B_-_157100305.23-P2	0	909858.0	0.9978634000776037	0.9975981482572611
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P2	ARID1B_-_157100366.23-P2	0	1227760.0	0.998487736150823	0.9981784041929125
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid1b-P2	ARID1B___157100315.23-P2	0	1508098.0	0.9988920983222407	0.997681051989342
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid2-P1P2	ARID2_-_46123531.23-P1P2	0	331340.0	0.9937473841010067	0.9908581291948556
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid2-P1P2	ARID2_-_46123742.23-P1P2	0	617966.0	0.9928745456578945	0.9939955030883326
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Arid2-P1P2	ARID2___46123483.23-P1P2	0	455766.0	0.995740411144054	0.9965777196111376
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Ascc3-P1P2	ASCC3_-_101329188.23-P1P2	0	466970.0	0.989439023798004	0.9935905034788737
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Ascc3-P1P2	ASCC3_-_101329193.23-P1P2	0	487576.0	0.9923945660685414	0.994582108105082
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Ascc3-P1P2	ASCC3_-_101329197.23-P1P2	0	204396.0	0.993371487303637	0.9964951137332171
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Asf1a-P1P2	ASF1A_-_119215390.23-P1P2	0	1515814.0	0.9989246839360643	0.9957884338213179
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Asf1a-P1P2	ASF1A_-_119215607.23-P1P2	0	1607170.0	0.9988762900623369	0.9984298816131353
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Asf1a-P1P2	ASF1A___119215456.23-P1P2	0	899248.0	0.9985900701186763	0.9957283672950704
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atm-P1P2	ATM_-_108093795.23-P1P2	0	1519288.0	0.9987070359675287	0.9898885289574058
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atm-P1P2	ATM_-_108093813.23-P1P2	0	1133490.0	0.9993723834299302	0.9886895723221915
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atm-P1P2	ATM_-_108093839.23-P1P2	0	1144762.0	0.9986257302706814	0.9884253124292884
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a2-P1P2	ATP13A2_-_17338380.23-P1P2	0	1152778.0	0.9986037725774386	0.9942832400868803
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a2-P1P2	ATP13A2_-_17338412.23-P1P2	0	202322.0	0.9967354720124271	0.9917437188330159
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a2-P1P2	ATP13A2___17338415.23-P1P2	0	1366098.0	0.9977623680098361	0.9932610410928674
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a5-P1P2	ATP13A5___193096393.23-P1P2	0	1173268.0	0.9946380833636033	0.9885096708250671
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a5-P1P2	ATP13A5___193096462.23-P1P2	0	314524.0	0.9910968727234407	0.9904892859684643
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atp13a5-P1P2	ATP13A5___193096510.23-P1P2	0	658546.0	0.9955816755132445	0.9868171512133538
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atr-P1P2	ATR_-_142297649.23-P1P2	0	587060.0	0.9977410259357778	0.9969082086716301
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atr-P1P2	ATR___142297571.23-P1P2	0	292564.0	0.9988723602227985	0.9974997733701604
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atr-P1P2	ATR___142297576.23-P1P2	0	336230.0	0.9982632550684829	0.9965549966858457
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrip-P1P2	ATRIP_-_48488160.23-P1P2	0	697698.0	0.9986926834978846	0.998615450503682
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrip-P1P2	ATRIP_-_48488235.23-P1P2	0	1188368.0	0.9978282293218272	0.9964960042581583
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrip-P1P2	ATRIP___48488180.23-P1P2	0	753484.0	0.9987430377766645	0.9985292416088795
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrx-P1P2	ATRX_-_77041440.23-P1P2	0	688626.0	0.9991730912826059	0.993256610158212
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrx-P1P2	ATRX___77041530.23-P1P2	0	1109436.0	0.9991431045610708	0.9882033935699553
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Atrx-P1P2	ATRX___77041684.23-P1P2	0	831684.0	0.9994898290932144	0.9904241954987537
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Babam1-P1P2	BABAM1_-_17378278.23-P1P2	0	808514.0	0.9876210993261298	0.9903735671092319
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Babam1-P1P2	BABAM1_-_17378297.23-P1P2	0	969574.0	0.9869379548679734	0.9726916423955381
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Babam1-P1P2	BABAM1_-_17378340.23-P1P2	0	1128588.0	0.9943555237967441	0.9883694098681842
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bach1-P1P2	BACH1_-_30671281.23-P1P2	0	729352.0	0.9993571842333078	0.9950243506239009
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bach1-P1P2	BACH1_-_30671373.23-P1P2	0	1366862.0	0.9991950163338383	0.9966177952406855
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bach1-P1P2	BACH1_-_30671379.23-P1P2	0	315606.0	0.9991512051102245	0.9943081071158693
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bard1-P1P2	BARD1_-_215674358.23-P1P2	0	936480.0	0.9701711714845949	0.9697867930250311
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bard1-P1P2	BARD1___215674263.23-P1P2	0	1029288.0	0.9862641459632937	0.9969570591062689
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bard1-P1P2	BARD1___215674399.23-P1P2	0	372522.0	0.9793370958172907	0.9964134515065801
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1a-P1P2	BAZ1A___35344505.23-P1P2	0	1086228.0	0.9985302940576093	0.9984585789117201
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1a-P1P2	BAZ1A___35344514.23-P1P2	0	947852.0	0.9985501447485379	0.9964076318981603
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1a-P1P2	BAZ1A___35344519.23-P1P2	0	716354.0	0.998619546576643	0.9974362382032032
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1b-P1P2	BAZ1B_-_72936454.23-P1P2	0	1557686.0	0.9944745741339769	0.9949613801531167
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1b-P1P2	BAZ1B_-_72936561.23-P1P2	0	1298396.0	0.992960547857266	0.9948315231659568
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Baz1b-P1P2	BAZ1B___72936507.23-P1P2	0	862.0	0.9911053930409837	0.9812302644080524
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11a-P1P2	BCL11A_-_60780410.23-P1P2	0	1257068.0	0.9980964663289669	0.9951889047107236
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11a-P1P2	BCL11A_-_60780590.23-P1P2	0	1452566.0	0.9989218537446015	0.996948184578288
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11a-P1P2	BCL11A_-_60780738.23-P1P2	0	1594930.0	0.9983557686321924	0.995092287394639
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11b-P1P2	BCL11B_-_99737696.23-P1P2	0	924358.0	0.998993893985852	0.9965806300936618
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11b-P1P2	BCL11B_-_99738038.23-P1P2	0	1051970.0	0.9979731015008537	0.9980712263891947
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl11b-P1P2	BCL11B___99737879.23-P1P2	0	958502.0	0.9977240405991644	0.9931084582905861
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7a-P1P2	BCL7A_-_122459912.23-P1P2	0	1024394.0	0.99899359278958	0.9967438832481424
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7a-P1P2	BCL7A_-_122459961.23-P1P2	0	940108.0	0.9983588328140348	0.9959336403945664
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7a-P1P2	BCL7A_-_122460004.23-P1P2	0	699628.0	0.9990158289686818	0.9959383949484033
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7b-P1P2	BCL7B_-_72971912.23-P1P2	0	872716.0	0.9991037091255963	0.9948895609373981
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7b-P1P2	BCL7B_-_72971958.23-P1P2	0	537892.0	0.9984720787194837	0.9952261800871964
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7b-P1P2	BCL7B___72971736.23-P1P2	0	1038966.0	0.9992311191049725	0.9948231777152865
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7c-P1P2	BCL7C___30905135.23-P1P2	0	1137244.0	0.9987262425071424	0.9973291269906097
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7c-P1P2	BCL7C___30905369.23-P1P2	0	940140.0	0.9980932476623544	0.9948015707933806
