Gene	_INSERTION	DELETION_	DELINS	HDR	INSERTION_1bp	LARGE_DELETION	PQ_DELETION	TINS
Poll	NA	NA	NA	NA	-0.787766339113967	NA	NA	NA
Polm	NA	NA	-0.46918269284663	NA	NA	NA	NA	NA
Polq	NA	NA	NA	NA	NA	0.937573497026806	-0.720433257975041	-0.938636546482513
Polr1a	NA	0.241509439808289	NA	NA	0.550475974084763	NA	-0.402884022053635	NA
Polr1b	NA	NA	NA	NA	0.668443118683745	NA	NA	NA
Polr1d	NA	NA	NA	NA	0.361687155374759	NA	NA	NA
Polr2i	NA	NA	NA	-0.6533290680413	NA	NA	NA	NA
Polr2j	NA	0.298194361430459	NA	-0.796813214606179	NA	NA	NA	NA
Polr3b	NA	NA	NA	NA	0.440632438883342	NA	NA	NA
Polr3d	NA	NA	NA	NA	NA	NA	NA	-0.651031579673762
Pop5	NA	NA	NA	-0.921143588395871	0.395687157346169	NA	NA	NA
Pou5f1	NA	NA	NA	-0.601997340328035	0.303160164661617	NA	NA	NA
Ppan	NA	NA	NA	NA	0.280696406976096	NA	NA	NA
Ppp1r2	NA	NA	0.243531339751434	NA	NA	NA	NA	NA
Ppp1r7	NA	NA	NA	-0.60067841870032	NA	NA	NA	NA
Ppp2ca	NA	NA	NA	-0.540991951741935	NA	NA	NA	NA
Ppp4c	NA	NA	NA	-0.907394434616742	NA	NA	NA	NA
Pramel26	NA	NA	NA	NA	NA	NA	NA	-0.538196515575824
Pramel32	NA	NA	NA	NA	NA	0.350723108510199	NA	NA
Prelid1	0.556690426603872	NA	NA	NA	0.38488784021336	NA	NA	NA
Prkdc	NA	NA	-0.460506370674869	0.363413608320609	NA	NA	NA	NA
Prl2c5	-0.512717730262439	NA	NA	NA	NA	NA	NA	NA
Prl7a2	-0.629941352697052	NA	NA	NA	NA	NA	NA	NA
Prl8a1	NA	NA	NA	NA	NA	NA	NA	-0.597583499063035
Prmt1	NA	NA	NA	NA	0.501914026643133	NA	NA	NA
Prmt5	NA	NA	NA	NA	0.467588903132643	NA	NA	NA
Prpf19	NA	NA	NA	NA	0.436061271685159	NA	NA	NA
Prpf38a	NA	NA	NA	NA	0.353489983693231	NA	NA	NA
Prpf8	NA	NA	NA	NA	0.514364330182839	NA	NA	NA
Prss48	-0.4912163611671	NA	NA	NA	NA	NA	NA	NA
Prss54	NA	NA	NA	NA	NA	NA	NA	-0.665680383928839
Psip1	NA	NA	NA	0.311900127676328	NA	NA	NA	NA
Psma4	NA	NA	NA	-0.858103983263975	0.313119180356278	NA	NA	NA
Psmd6	NA	NA	NA	NA	0.617288403000756	NA	NA	NA
Psme3ip1	NA	NA	NA	NA	NA	-0.253369052010285	NA	NA
Psmf1	NA	NA	NA	NA	NA	NA	NA	0.506108628350695
Psmg1	NA	NA	NA	NA	NA	-0.284831295693087	NA	NA
Psmg2	NA	NA	NA	NA	NA	NA	-0.326215784057887	NA
Psmg4	NA	NA	NA	NA	0.401112214735241	NA	NA	NA
Ptcd3	NA	NA	NA	NA	NA	NA	NA	-0.857479022650927
Pten	NA	NA	NA	0.390423740436499	NA	NA	NA	NA
Ptpn2	NA	NA	-0.254932469542429	NA	NA	NA	NA	NA
Puf60	NA	NA	NA	NA	NA	NA	NA	-0.613919633304766
Rab11fip2	-0.548085437902059	NA	NA	NA	NA	NA	NA	NA
Rab1a	-1.36523796138581	NA	NA	NA	NA	NA	NA	NA
Rac1	NA	NA	NA	-0.438055614412566	NA	NA	NA	NA
Rad17	NA	NA	NA	-0.5269333365145	NA	0.351087446356112	NA	NA
Rad50	NA	NA	NA	-0.399316906165863	0.878649830179864	-0.28059864107645	-0.305967896478055	NA
Rad51	NA	NA	NA	-0.871389795926511	0.54023902320876	NA	NA	NA
Rad51ap1	NA	NA	NA	-0.758208065993387	NA	NA	0.192242477690218	NA
Rad51d	NA	NA	NA	-0.516825899674648	0.376514776895341	NA	NA	NA
Rad9a	NA	NA	NA	NA	0.33518113847074	NA	NA	NA
Rae1	NA	NA	NA	-0.487811097304524	NA	NA	NA	NA
Raf1	-0.629900031798958	NA	NA	NA	NA	NA	NA	NA
Ralyl	NA	-0.181847043157414	NA	NA	NA	NA	NA	NA
Ranbp1	NA	NA	NA	-0.360102517126126	NA	NA	NA	NA
Rbbp8	NA	0.218415370133149	NA	-0.537607642597658	NA	NA	NA	NA
Rbm19	NA	NA	NA	NA	0.341714894612183	NA	NA	NA
Rbm22	NA	NA	NA	NA	0.50065321423068	NA	-0.385878812163511	NA
Rbm31y	NA	NA	NA	NA	-0.285238845868133	NA	NA	NA
Rbm39	NA	-0.215108977515271	NA	NA	0.388085042846364	NA	NA	NA
Rbm41	-0.663118197700804	NA	NA	NA	NA	NA	NA	NA
Rbmx2	NA	NA	NA	NA	NA	NA	-0.293854753319372	NA
Rcc1	NA	NA	NA	-0.699842851490428	0.366455320670419	NA	NA	NA
Retreg1	NA	NA	-0.264359810984224	NA	NA	NA	NA	NA
Rfwd3	NA	NA	NA	-0.767191585459095	NA	NA	NA	NA
Rfx7	NA	NA	NA	NA	NA	-0.382127726934436	NA	NA
Rgs1	NA	NA	-0.313968753022772	NA	NA	NA	NA	NA
Rhag	NA	NA	NA	NA	NA	-0.258010362768092	NA	NA
Rhbdd3	NA	NA	NA	NA	NA	NA	NA	-0.51968582710776
Ric8a	NA	NA	NA	0.380149201039565	NA	NA	NA	NA
Rmi1	NA	NA	NA	-0.459116135478805	NA	NA	NA	NA
Rmi2	NA	NA	NA	-0.452862552116862	NA	NA	NA	NA
Rnaseh2b	NA	NA	NA	NA	NA	-0.368370660168064	NA	NA
Rnasek	NA	NA	NA	NA	NA	NA	0.231052123136856	NA
Rnf168	0.914743924632859	0.316721603462513	NA	-1.2772654170357	0.509334339468605	-0.924798739289986	NA	NA
Rnf8	NA	NA	NA	-1.15480002730259	0.667862525851508	-0.521343094808474	NA	NA
Rpa1	NA	NA	NA	NA	NA	NA	-0.250983374759365	NA
Rpa2	NA	NA	NA	NA	NA	0.29195598646589	NA	NA
Rpain	NA	NA	NA	NA	NA	0.271140839360281	NA	NA
Rpf2	NA	NA	NA	-0.640418502032929	0.429479541501391	0.259838326393326	NA	NA
Rpl7l1	NA	NA	NA	NA	0.523949287412817	NA	NA	NA
Rps21	NA	NA	NA	NA	0.582997875618916	NA	NA	NA
Rps5	NA	NA	NA	NA	0.517626125740415	NA	NA	NA
Rptor	NA	NA	NA	-0.352444701435506	NA	NA	NA	NA
Rpusd4	NA	NA	NA	NA	NA	-0.28196163294887	NA	NA
Rrm1	NA	NA	NA	-0.748059457132513	NA	NA	NA	NA
Rrs1	NA	NA	NA	NA	0.493021863280053	NA	NA	NA
Rspo3	NA	NA	0.282214889283705	NA	NA	NA	NA	NA
Ruvbl1	NA	NA	NA	-0.677302762925594	NA	NA	NA	NA
S100a2	NA	NA	-0.373341869184323	NA	NA	NA	NA	-1.04951844399997
S100a7l2	NA	NA	NA	NA	-0.329780187308348	NA	NA	NA
Sae1	NA	NA	-0.329734620928534	NA	NA	NA	NA	NA
Samsn1	-0.622932566920995	NA	NA	NA	NA	NA	NA	NA
Sars	NA	NA	NA	-1.08411604007447	0.673086954389193	NA	NA	NA
Sart3	NA	NA	NA	-0.584748621484515	NA	NA	NA	NA
Saxo2	NA	NA	NA	NA	-0.319260458508275	NA	NA	NA
Scgb1b30	NA	NA	NA	0.315958376012236	NA	NA	NA	NA
Sec13	NA	NA	NA	-0.686887682210072	NA	NA	NA	NA
Sectm1b	NA	NA	NA	NA	NA	NA	NA	-0.49300201966146
Seh1l	NA	NA	NA	-0.654298430650973	NA	NA	NA	NA
Selenos	NA	NA	NA	NA	NA	NA	NA	-0.680471966989903
Semp2l2b	0.499618979443725	NA	NA	NA	NA	NA	NA	NA
Serpina3i	NA	NA	NA	0.312199180518247	NA	NA	NA	NA
Sgo2b	-0.76124921163412	NA	NA	NA	NA	NA	NA	NA
Sh3glb1	NA	NA	NA	NA	NA	0.274382462683709	NA	NA
Shb	NA	NA	NA	NA	NA	NA	NA	-0.526531378331053
Shld2	NA	NA	NA	NA	NA	-0.297812589520167	NA	NA
Sin3a	NA	NA	NA	-0.791571279531569	NA	NA	NA	NA
Sipa1l1	NA	NA	-0.255038952271673	NA	NA	NA	NA	NA
Sis	NA	NA	NA	NA	NA	NA	0.166864402530191	NA
Skint1	NA	NA	NA	NA	NA	-0.257973927836237	NA	NA
Skint3	-0.614776779722567	NA	NA	NA	NA	NA	NA	NA
Slc39a13	0.568269648921853	NA	NA	NA	NA	NA	NA	NA
Slco1a1	NA	NA	NA	NA	NA	NA	NA	-0.579932962263541
Slpi	NA	NA	NA	NA	NA	-0.275739958322054	NA	NA
Smarcad1	NA	NA	NA	NA	0.354739206397617	NA	NA	NA
Smlr1	NA	NA	NA	NA	NA	NA	NA	-0.601465345650883
Snapc1	NA	NA	NA	-0.480528395927291	0.431470994695908	NA	NA	NA
Snapc4	NA	NA	NA	-0.758013079118165	0.414793807901489	NA	NA	NA
Snrnp200	NA	NA	NA	NA	0.345803090377639	NA	NA	NA
Snrnp35	NA	NA	NA	NA	0.585508878711233	NA	NA	NA
Snrpb	NA	NA	NA	-0.818411904952153	NA	NA	NA	NA
Snrpc	NA	NA	NA	NA	0.32140351991435	NA	NA	NA
Sox2	NA	NA	NA	-0.527705243315019	0.486190987744249	NA	NA	NA
Spata2	NA	-0.175703691333834	NA	NA	NA	NA	NA	NA
Spata22	NA	NA	NA	NA	NA	NA	NA	0.49438821669925
Spc24	NA	NA	NA	-0.391528971866138	NA	NA	NA	NA
Spcs2	NA	NA	-0.344979985272416	NA	NA	NA	NA	NA
Spdl1	0.497558336666477	NA	NA	-0.523977262974138	NA	NA	NA	NA
Spinkl	NA	NA	-0.323058447686567	NA	-0.288176943191052	0.337358826693369	NA	NA
Spo11	NA	NA	NA	NA	NA	NA	NA	-0.551471214719167
Srp19	NA	0.250125723871789	NA	NA	NA	NA	NA	NA
Srsf1	NA	NA	NA	NA	0.488155032688377	-0.357872259709434	NA	NA
Srsf2	NA	NA	NA	-0.476525419783286	NA	NA	NA	NA
Stat3	NA	NA	NA	-0.478211866490446	NA	NA	NA	NA
Stn1	NA	NA	NA	NA	NA	-0.402805977873863	NA	NA
Strada	NA	NA	-0.389946021277106	NA	NA	NA	NA	NA
Stxbp6	-0.517885122797547	NA	NA	NA	NA	NA	NA	NA
Sult1e1	NA	NA	NA	NA	NA	-0.255600978756654	NA	NA
Sult2a6	NA	NA	NA	NA	NA	NA	NA	-0.57497888578283
Supt20	NA	NA	NA	-0.402144639723918	NA	NA	NA	NA
Surf6	NA	NA	NA	NA	0.288433868476594	NA	NA	NA
Susd6	-0.485552709784433	NA	NA	NA	NA	NA	NA	NA
Suz12	NA	NA	NA	NA	NA	-0.263328030005946	NA	NA
Sypl	NA	NA	0.228742581843706	NA	NA	NA	NA	NA
Szrd1	NA	NA	NA	NA	NA	NA	NA	-0.757875808160626
Tada3	NA	NA	NA	NA	NA	NA	NA	-0.480296569787673
Taf13	NA	NA	NA	-0.758002435852826	NA	NA	NA	NA
Taf1b	NA	NA	NA	-0.422304919820608	NA	NA	NA	NA
Taf5l	NA	NA	NA	-0.366612017071864	NA	NA	NA	NA
Tas2r131	NA	NA	NA	NA	NA	NA	NA	-1.03856442765718
Tbl3	NA	NA	NA	-0.819131269021834	0.542459170430828	NA	NA	NA
Tbx19	NA	NA	-0.290621511169866	NA	NA	NA	NA	NA
Tceal7	NA	NA	NA	NA	NA	NA	NA	-0.681250195535722
Tceanc	NA	NA	NA	NA	NA	NA	NA	-1.12555006444303
Tcerg1	NA	NA	NA	NA	NA	0.375423717826764	NA	NA
Teddm1a	NA	NA	-0.316116212162475	NA	NA	NA	NA	NA
Telo2	NA	NA	NA	NA	0.46465902175342	NA	NA	NA
Terb1	NA	NA	NA	NA	NA	-0.31657166030572	NA	NA
Tex29	NA	NA	NA	NA	NA	NA	0.181420388336469	0.554577559993504
Tfpi	-0.756531682430826	NA	NA	NA	NA	NA	NA	NA
Tgif2	NA	NA	NA	NA	NA	-0.316936042695313	NA	NA
Thg1l	NA	NA	NA	NA	0.490423286081016	NA	NA	NA
Thoc6	NA	NA	NA	-0.451527645583603	0.330930842807004	NA	NA	NA
Thumpd2	NA	-0.203580091222731	NA	NA	NA	NA	NA	NA
Timmdc1	NA	NA	NA	NA	NA	NA	NA	-0.816151972549392
Tiparp	-0.652656694487248	NA	NA	NA	NA	NA	NA	NA
Tipin	NA	NA	-0.418122514859147	NA	NA	NA	NA	NA
Tiprl	NA	0.223669117825875	NA	NA	NA	NA	NA	NA
Tlr6	NA	NA	0.221753820525332	NA	NA	NA	NA	NA
Tmem123	NA	NA	NA	NA	NA	NA	NA	-0.50784077986015
Tmem225	NA	NA	NA	NA	-0.276351069013503	NA	0.201859174919743	NA
Tmem258	NA	NA	NA	NA	NA	NA	NA	-0.719084051339276
Tmem41a	NA	NA	0.242267376300253	NA	NA	NA	NA	NA
Tmx1	NA	NA	NA	0.311126398685691	NA	NA	NA	NA
Tomm6	NA	NA	NA	NA	NA	-0.367877385679227	NA	NA
Tonsl	NA	0.223247316603476	NA	-0.900614176222288	NA	NA	NA	NA
Top2a	NA	NA	NA	-0.617913165515066	NA	NA	NA	NA
Top3a	NA	NA	NA	NA	0.651721731704946	NA	NA	NA
Topbp1	NA	NA	NA	NA	NA	NA	-0.276445477419711	NA
Triap1	0.63509330593836	NA	NA	-0.64141960016286	NA	NA	NA	NA
Trim17	NA	NA	-0.300400496066624	NA	NA	NA	NA	NA
Trim28	NA	NA	NA	-0.538463991225757	0.338755722966353	NA	NA	NA
Trnt1	NA	NA	NA	NA	0.29864037783791	NA	NA	NA
Trp53	NA	NA	NA	NA	-0.355860986796673	NA	NA	NA
Trp53bp1	NA	-0.292612378372628	NA	0.549089627789777	-0.36017963966296	-0.323152622111659	NA	NA
Tsen34	NA	NA	NA	NA	0.406900799743447	NA	NA	NA
Ttc27	NA	NA	NA	-0.506802058908371	0.392832432496636	NA	NA	NA
Ttc4	-0.603841211970618	NA	NA	NA	NA	NA	NA	NA
Ttf2	NA	NA	NA	NA	NA	0.263687371712576	NA	NA
Tti1	NA	NA	NA	NA	0.59660445610001	NA	NA	NA
Tufm	NA	NA	NA	NA	0.309833230581872	NA	NA	NA
Tut1	0.754907147743575	NA	NA	NA	0.462603889166737	NA	NA	NA
Txnl4a	NA	NA	NA	-0.616108418352585	0.287823636530021	NA	NA	NA
Uba3	NA	NA	NA	NA	0.289364563459728	-0.280343542451034	NA	NA
Ube2cbp	NA	NA	NA	NA	NA	NA	-0.253352443737523	NA
Ube2m	NA	NA	NA	-0.440992625912178	0.358982563678827	NA	NA	NA
Ube2t	NA	NA	NA	-0.807064442348709	NA	NA	NA	NA
Ube2w	NA	NA	NA	NA	NA	-0.288778610043836	NA	NA
Ubp1	NA	-0.200545572662655	NA	NA	NA	NA	NA	NA
Ubr4	NA	NA	NA	-0.352928516855247	NA	NA	NA	NA
Ubr7	-0.512444802143415	NA	NA	NA	NA	NA	NA	NA
Ufsp2	0.61112169191614	NA	NA	NA	NA	NA	NA	NA
Ulk2	NA	NA	NA	NA	NA	NA	NA	0.489080286416361
Usp1	NA	NA	NA	-0.519543415932475	0.301687172952884	NA	NA	NA
Usp5	NA	NA	NA	-0.650554400736402	0.373630944942026	NA	NA	NA
Vhl	NA	NA	NA	-0.478065462200849	NA	NA	NA	NA
Vmn1r195	NA	NA	-0.395876083153716	NA	NA	NA	NA	NA
Vmn1r223	NA	NA	NA	NA	NA	0.292083340165035	NA	NA
Vmn1r224	NA	NA	NA	0.379572340128387	NA	NA	-0.255214886816245	NA
Vmn1r236	NA	NA	NA	NA	NA	-0.262091660000412	NA	NA
Vmn1r31	NA	NA	NA	NA	NA	NA	NA	-0.866580021981535
Vmn1r4	NA	NA	-0.37485058444421	NA	NA	NA	NA	NA
Vmn1r72	NA	NA	NA	NA	NA	0.333563624489498	NA	NA
Vmn1r87	NA	NA	-0.265681802830754	NA	NA	NA	NA	NA
Vmn2r89	-0.657734762647341	NA	NA	NA	NA	NA	NA	NA
Vps54	-0.482816881147184	NA	NA	NA	-0.352653717544366	NA	NA	NA
Vrk2	NA	NA	NA	NA	NA	NA	NA	-0.632650479179718
Wbp2nl	NA	NA	NA	NA	NA	-0.262755680282145	NA	NA
Wdr24	NA	NA	NA	NA	0.293305553269586	NA	NA	NA
Wdr45b	NA	NA	NA	NA	NA	NA	0.183400201316616	NA
Wdr48	NA	NA	NA	-0.63592773730222	NA	NA	NA	NA
Wdr55	NA	NA	NA	NA	0.702291439255763	NA	NA	NA
Wdr61	NA	NA	NA	NA	0.391874347731386	NA	NA	NA
Wdr77	NA	NA	NA	NA	0.404743935391017	NA	NA	NA
Wee1	NA	NA	NA	-0.410606953950718	NA	NA	NA	NA
Wtap	-0.783434242633061	NA	NA	NA	NA	NA	NA	NA
Xab2	NA	NA	0.340151801382966	NA	NA	NA	NA	NA
Xcr1	NA	NA	NA	NA	NA	NA	NA	-0.5606850732449
Xpo5	NA	NA	0.301913909967483	NA	NA	NA	NA	NA
Xrcc4	NA	NA	NA	NA	-0.417116848912013	NA	NA	NA
Xrcc5	NA	NA	-0.468500593711139	NA	1.00512834183698	-0.437037803474892	-0.659440978189099	NA
Xrcc6	NA	NA	-0.519650450733326	NA	1.02102895280327	-0.380363189497627	-0.481949628793628	-0.581939106483823
Xrn2	NA	NA	NA	NA	NA	NA	-0.289130518030834	NA
Yes1	NA	NA	0.281090122705683	NA	NA	NA	NA	NA
Yipf1	NA	NA	NA	NA	NA	-0.256263441750022	NA	NA
Zbtb11	NA	NA	NA	-0.81406049347345	0.525434254259665	NA	NA	NA
Zbtb16	NA	NA	NA	NA	NA	NA	NA	-0.516549382510748
Zbtb8os	NA	NA	NA	-0.759407726462203	0.461858066266347	NA	-0.278875320060758	NA
Zc3h10	NA	NA	NA	-0.337102534723269	NA	NA	NA	NA
Zc3h13	NA	NA	NA	0.333091996061527	NA	NA	NA	NA
Zfat	NA	NA	NA	-0.35348029049308	NA	NA	NA	NA
Zfp131	NA	NA	NA	-0.473778719441058	NA	NA	NA	NA
Zfp160	NA	NA	NA	NA	NA	NA	0.181496304630391	NA
Zfp35	-0.47524950515065	NA	NA	NA	NA	NA	NA	NA
Zfp459	NA	NA	NA	NA	NA	-0.264969673563601	NA	NA
Zfp472	-0.601253363950455	NA	NA	NA	NA	NA	NA	NA
Zfp53	NA	NA	NA	NA	-0.407374897494456	NA	NA	NA
Zfp654	NA	NA	NA	NA	-0.326722691597255	NA	NA	NA
Zfp708	NA	NA	NA	NA	NA	NA	NA	-0.596703925210069
Zfp948	NA	NA	NA	NA	NA	NA	0.182506507278653	NA
Zfp959	NA	NA	NA	NA	NA	-0.511102696244259	NA	NA
Zfy2	NA	NA	NA	NA	NA	NA	0.192429469517668	NA
Zmym5	NA	NA	NA	NA	NA	NA	-0.291141868842735	NA
Zpr1	NA	0.224419225973248	NA	NA	NA	NA	NA	NA
Zswim4	-0.530813138423971	NA	NA	NA	NA	NA	NA	NA
